ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
605068.SH,605068,明新旭腾,浙江,汽车配件,主板,20201123,235751.7577,235751.7577
605069.SH,605069,正和生态,北京,环境保护,主板,20210816,203864.9602,81047.3107
605077.SH,605077,华康股份,浙江,食品,主板,20210209,475338.9714,465310.6986
605080.SH,605080,浙江自然,浙江,文教休闲,主板,20210506,441566.3118,441566.3118
605081.SH,605081,太和水,上海,环境保护,主板,20210209,107697.9655,107697.9655
605086.SH,605086,龙高股份,福建,矿物制品,主板,20210416,520576.0,520576.0
605088.SH,605088,冠盛股份,浙江,汽车配件,主板,20200817,721073.2439,700560.4439
605089.SH,605089,味知香,江苏,食品,主板,20210427,333822.0,333822.0
605090.SH,605090,九丰能源,江西,供气供热,主板,20210525,1682736.3738,1665616.1075
605098.SH,605098,行动教育,上海,文教休闲,主板,20210421,508128.9371,508128.9371
605099.SH,605099,共创草坪,江苏,文教休闲,主板,20200930,863128.658,859793.41
605100.SH,605100,华丰股份,山东,机械基件,主板,20200811,429027.924,426019.524
605108.SH,605108,同庆楼,安徽,酒店餐饮,主板,20200716,577720.0,577720.0
605111.SH,605111,新洁能,江苏,半导体,主板,20200928,1475676.6106,1475676.6106
605116.SH,605116,奥锐特,浙江,化学制药,主板,20200921,813202.39,795817.022
605117.SH,605117,德业股份,浙江,电气设备,主板,20210420,5808912.7237,5808912.7237
605118.SH,605118,力鼎光电,福建,元器件,主板,20200730,871635.356,871635.356
605122.SH,605122,四方新材,重庆,水泥,主板,20210310,198379.454,198379.454
605123.SH,605123,派克新材,江苏,航空,主板,20200825,649597.152,649597.152
605128.SH,605128,上海沿浦,上海,汽车配件,主板,20200915,560643.5404,510681.4551
605133.SH,605133,嵘泰股份,江苏,汽车配件,主板,20210224,565063.1878,561782.4516
605136.SH,605136,丽人丽妆,上海,其他商业,主板,20200929,300744.3335,300744.3335
605138.SH,605138,盛泰集团,浙江,服饰,主板,20211027,326115.1382,326115.1382
605151.SH,605151,西上海,上海,汽车配件,主板,20201215,224829.8754,223629.117
605155.SH,605155,西大门,浙江,家居用品,主板,20201231,227366.8113,224458.6613
605158.SH,605158,华达新材,浙江,钢加工,主板,20200805,450049.6,450049.6
605162.SH,605162,新中港,浙江,供气供热,主板,20210707,288769.2097,288769.2097
605166.SH,605166,聚合顺,浙江,化纤,主板,20200618,416557.251,416557.251
605167.SH,605167,利柏特,江苏,建筑工程,主板,20210726,423922.08,423922.08
605168.SH,605168,三人行,陕西,互联网,主板,20200528,651424.4867,651424.4867
605169.SH,605169,洪通燃气,新疆,供气供热,主板,20201030,281182.72,281182.72
605177.SH,605177,东亚药业,浙江,化学制药,主板,20201125,224228.8783,219988.497
